MSOA code,low,mid,high
E02001013,205500 ,274950 ,348000 
E02001014,163000 ,207500 ,255625 
E02001015,127498 ,149999 ,150000 
E02001016,100750 ,105500 ,110250 
E02001017,150000 ,205000 ,270000 
E02001018,210000 ,245000 ,310000 
E02001019,258750 ,319000 ,382500 
E02001020,308000 ,340000 ,435000 
E02001021,271500 ,330500 ,372500 
E02001022,165000 ,225000 ,275000 
E02001023,209750 ,227000 ,288750 
E02001024,230500 ,270000 ,304500 
E02001025,218345 ,290000 ,397500 
E02001026,75000 ,82000 ,117500 
E02001027,148500 ,180000 ,225000 
E02001028,225750 ,280000 ,305250 
E02001029,126000 ,133430 ,157500 
E02001030,210625 ,255000 ,288750 
E02001031,232500 ,252500 ,374975 
E02001032,206250 ,220000 ,300000 
E02001033,180875 ,205500 ,219250 
E02001034,110250 ,135000 ,167000 
E02001035,231000 ,277500 ,305000 
E02001036,192500 ,260000 ,302500 
E02001037,287250 ,362500 ,463750 
E02001038,190250 ,203500 ,244375 
E02001039,218000 ,240000 ,241000 
E02001040,256500 ,288500 ,330000 
E02001041,214375 ,273250 ,338813 
E02001042,306500 ,371250 ,435500 
E02001043,257500 ,295000 ,334250 
E02001044,275000 ,336000 ,395000 
E02001045,136500 ,140000 ,218750 
E02001046,134750 ,182000 ,206500 
E02001047,157963 ,186500 ,200625 
E02001048,206250 ,255000 ,310000 
E02001049,175000 ,179950 ,240000 
E02001050,140250 ,140500 ,140750 
E02001051,97000 ,146500 ,164750 
E02001052,131000 ,172500 ,184000 
E02001053,91000 ,100000 ,130000 
E02001055,119250 ,156500 ,178750 
E02001056,123000 ,123000 ,123000 
E02001057,#N/A,#N/A,#N/A
E02001059,143750 ,157500 ,191875 
E02001061,140250 ,173000 ,183500 
E02001062,163725 ,194000 ,219750 
E02001063,180000 ,180000 ,180000 
E02001064,152500 ,162500 ,174750 
E02001065,118750 ,142500 ,155750 
E02001066,176250 ,191375 ,209875 
E02001067,142500 ,142500 ,142500 
E02001068,131500 ,138000 ,151250 
E02001069,160000 ,209950 ,210000 
E02001070,200000 ,225000 ,275000 
E02001071,115000 ,150000 ,195500 
E02001072,259338 ,306250 ,381875 
E02001073,360000 ,405000 ,453750 
E02001074,156250 ,181500 ,323750 
E02001075,165625 ,186000 ,242500 
E02001076,200000 ,265000 ,290000 
E02001077,366000 ,487000 ,559375 
E02001078,227000 ,250000 ,278750 
E02001079,214975 ,228710 ,352000 
E02001080,185000 ,238000 ,286000 
E02001081,458750 ,595000 ,680000 
E02001082,392250 ,462500 ,613250 
E02001083,420000 ,527000 ,615000 
E02001084,370000 ,430000 ,545688 
E02001085,194500 ,205000 ,223250 
E02001086,348480 ,465000 ,590000 
