MSOA code,low,mid,high
E02001779,32000 ,32000 ,32000 
E02001780,#N/A,#N/A,#N/A
E02001781,44000 ,44000 ,44000 
E02001782,#N/A,#N/A,#N/A
E02001783,#N/A,#N/A,#N/A
E02001784,38063 ,38375 ,38688 
E02001785,#N/A,#N/A,#N/A
E02001786,#N/A,#N/A,#N/A
E02001787,#N/A,#N/A,#N/A
E02001788,#N/A,#N/A,#N/A
E02001789,55750 ,58000 ,59500 
E02001790,86750 ,110500 ,134250 
E02001791,#N/A,#N/A,#N/A
E02001792,89500 ,96000 ,105875 
E02001793,30000 ,30000 ,30000 
E02001794,39000 ,39000 ,39000 
E02001795,50000 ,50000 ,54250 
E02001796,51750 ,58675 ,90013 
E02001797,60000 ,60000 ,60000 
E02001798,59950 ,59950 ,59950 
E02001799,17438 ,20000 ,24250 
E02001800,#N/A,#N/A,#N/A
E02001801,31500 ,31500 ,39500 
E02001802,68500 ,68500 ,68500 
E02001803,44000 ,58000 ,60000 
E02001804,#N/A,#N/A,#N/A
E02001805,#N/A,#N/A,#N/A
E02001806,32225 ,35000 ,42500 
E02001807,70000 ,70000 ,70000 
E02001808,47125 ,58250 ,69375 
E02001809,52125 ,54250 ,58375 
E02001810,56750 ,64000 ,66250 
E02001811,#N/A,#N/A,#N/A
E02001812,70250 ,75500 ,80750 
E02001813,37375 ,39800 ,42400 
E02001814,65000 ,65000 ,65000 
E02001815,93000 ,93000 ,93000 
E02001816,56000 ,56000 ,56000 
E02001817,#N/A,#N/A,#N/A
E02001818,#N/A,#N/A,#N/A
E02001819,#N/A,#N/A,#N/A
E02001820,#N/A,#N/A,#N/A
E02001821,88500 ,88500 ,88500 
E02001822,#N/A,#N/A,#N/A
E02001823,42500 ,50000 ,57500 
E02001824,#N/A,#N/A,#N/A
E02001825,#N/A,#N/A,#N/A
E02001826,#N/A,#N/A,#N/A
E02002615,72500 ,85000 ,95000 
E02002616,#N/A,#N/A,#N/A
E02002617,55000 ,55000 ,55000 
E02002618,#N/A,#N/A,#N/A
E02002619,57000 ,57000 ,57000 
E02002620,48250 ,50500 ,52750 
E02002621,#N/A,#N/A,#N/A
E02002622,45000 ,45000 ,45000 
E02002623,#N/A,#N/A,#N/A
E02002624,#N/A,#N/A,#N/A
E02002625,52000 ,60000 ,60000 
E02002626,44000 ,44000 ,44000 
E02002627,70000 ,70000 ,70000 
E02002628,110000 ,110000 ,110000 
E02002629,50000 ,50000 ,50000 
E02002630,#N/A,#N/A,#N/A
E02002631,69125 ,70250 ,71375 
E02002632,#N/A,#N/A,#N/A
E02002633,65100 ,73000 ,75000 
E02002634,51875 ,60500 ,74375 
E02002635,75000 ,96000 ,110000 
E02002636,46725 ,49950 ,53725 
E02002637,87500 ,87500 ,87500 
E02002638,#N/A,#N/A,#N/A
E02002639,48000 ,48000 ,48000 
E02002640,47000 ,47000 ,47000 
E02002641,56475 ,59950 ,86975 
E02002642,42500 ,54500 ,68375 
E02002643,48500 ,54500 ,61750 
E02002644,48375 ,50000 ,53000 
E02002645,59000 ,76000 ,93000 
E02002646,56125 ,59250 ,62375 
E02002647,53750 ,56500 ,59250 
E02002648,40000 ,40000 ,40000 
E02002649,51875 ,58750 ,63750 
E02002650,52500 ,55000 ,57250 
E02002651,60000 ,65000 ,67500 
E02003853,#N/A,#N/A,#N/A
E02003854,128500 ,128500 ,128500 
E02003855,101500 ,125000 ,138750 
E02003856,78000 ,82000 ,92750 
E02003857,94500 ,94500 ,94500 
E02003858,109000 ,115000 ,124000 
E02003859,123250 ,146500 ,165500 
E02003860,170000 ,170000 ,170000 
E02003861,181500 ,182000 ,182500 
E02003863,87000 ,88000 ,98000 
E02003862,#N/A,#N/A,#N/A
E02003864,107188 ,118000 ,120500 
E02003865,92500 ,108000 ,141475 
E02003866,93500 ,109000 ,110500 
E02003867,76500 ,79250 ,91750 
E02003868,106000 ,111400 ,116500 
E02003869,77500 ,86000 ,86750 
E02003870,79988 ,89250 ,104375 
E02003871,66125 ,68250 ,70375 
E02003872,70000 ,70000 ,70000 
E02003873,74625 ,87250 ,99875 
E02003811,#N/A,#N/A,#N/A
E02003812,86975 ,104000 ,122500 
E02003813,92750 ,108000 ,108500 
E02003814,#N/A,#N/A,#N/A
E02003815,95000 ,95000 ,95000 
E02003816,90000 ,94050 ,142500 
E02003817,84750 ,92500 ,130750 
E02003818,#N/A,#N/A,#N/A
E02003819,106000 ,116875 ,142188 
E02003820,79950 ,79950 ,79950 
E02003821,128000 ,128000 ,128000 
E02003822,96250 ,97500 ,98750 
E02003825,99125 ,109500 ,117500 
E02003826,#N/A,#N/A,#N/A
E02003827,60000 ,60000 ,60000 
E02003828,#N/A,#N/A,#N/A
E02003829,#N/A,#N/A,#N/A
E02003830,77000 ,77000 ,77000 
E02003823,73500 ,75000 ,77500 
E02003831,#N/A,#N/A,#N/A
E02003824,91250 ,92500 ,93750 
E02003832,#N/A,#N/A,#N/A
E02003833,#N/A,#N/A,#N/A
E02003834,147500 ,147500 ,147500 
E02003835,#N/A,#N/A,#N/A
E02003836,87250 ,110000 ,124975 
E02003838,#N/A,#N/A,#N/A
E02003837,#N/A,#N/A,#N/A
E02003839,100000 ,108500 ,110000 
E02003840,218250 ,220500 ,222750 
E02003841,56713 ,64750 ,68750 
E02003874,96000 ,122500 ,125000 
E02003875,#N/A,#N/A,#N/A
E02003842,#N/A,#N/A,#N/A
E02003843,#N/A,#N/A,#N/A
E02003844,105750 ,111500 ,117250 
E02003845,59000 ,59000 ,59000 
E02003846,#N/A,#N/A,#N/A
E02003847,61250 ,72500 ,83750 
E02003848,#N/A,#N/A,#N/A
E02003849,53000 ,53000 ,53000 
E02003876,84000 ,84000 ,84000 
E02003850,#N/A,#N/A,#N/A
E02003851,#N/A,#N/A,#N/A
E02003877,50250 ,62500 ,71225 
E02003852,113000 ,130000 ,147000 
E02003878,#N/A,#N/A,#N/A
E02003879,70000 ,71500 ,81500 
E02003880,72000 ,72000 ,72000 
E02003881,63000 ,71000 ,79000 
E02003882,60000 ,60000 ,60000 
E02003794,67500 ,70000 ,72500 
E02003883,82000 ,102750 ,118125 
E02003884,66000 ,66000 ,66000 
E02003795,#N/A,#N/A,#N/A
E02003885,#N/A,#N/A,#N/A
E02003796,72475 ,90000 ,107500 
E02003797,118000 ,127500 ,128225 
E02003798,#N/A,#N/A,#N/A
E02003800,#N/A,#N/A,#N/A
E02003799,#N/A,#N/A,#N/A
E02003801,#N/A,#N/A,#N/A
E02003802,89375 ,112500 ,128750 
E02003803,83000 ,110000 ,137500 
E02003886,76000 ,77000 ,78000 
E02003804,85000 ,105000 ,122500 
E02003887,92000 ,92000 ,92000 
E02003888,#N/A,#N/A,#N/A
E02003805,#N/A,#N/A,#N/A
E02003889,#N/A,#N/A,#N/A
E02003806,89999 ,98000 ,108000 
E02003890,70000 ,70000 ,70000 
E02003807,106250 ,111750 ,122125 
E02003808,68000 ,82000 ,96500 
E02003891,90000 ,90000 ,90000 
E02003809,110000 ,115000 ,120000 
E02003810,#N/A,#N/A,#N/A
E02002574,#N/A,#N/A,#N/A
E02002575,41000 ,49000 ,57000 
E02002576,46713 ,53475 ,60238 
E02002577,#N/A,#N/A,#N/A
E02002578,65500 ,67000 ,73500 
E02002579,56000 ,56000 ,56000 
E02002580,62500 ,75000 ,87500 
E02002581,#N/A,#N/A,#N/A
E02002582,#N/A,#N/A,#N/A
E02002583,#N/A,#N/A,#N/A
E02002584,64500 ,64500 ,64500 
E02002585,63750 ,64000 ,69500 
E02002586,66000 ,66000 ,66000 
E02002587,71500 ,77000 ,80500 
E02002588,46000 ,46000 ,46000 
E02002589,#N/A,#N/A,#N/A
E02002590,54000 ,54000 ,54000 
E02002591,133750 ,160000 ,166250 
E02002592,75000 ,75000 ,75000 
E02002593,112500 ,112500 ,112500 
E02002594,81250 ,85000 ,91475 
E02002595,65500 ,65500 ,65500 
E02002596,89000 ,89950 ,90000 
E02002597,#N/A,#N/A,#N/A
E02002598,107500 ,112500 ,117500 
E02002599,110000 ,110000 ,110000 
E02002600,98750 ,107500 ,111250 
E02002601,60500 ,60500 ,60500 
E02002602,65000 ,65000 ,65000 
E02002603,75000 ,75000 ,110000 
E02002604,#N/A,#N/A,#N/A
E02002605,63725 ,65000 ,67500 
E02002606,64500 ,67500 ,83750 
E02002607,66000 ,95000 ,100000 
E02002608,#N/A,#N/A,#N/A
E02002609,92500 ,110000 ,127500 
E02002610,85500 ,95000 ,120000 
E02002611,70000 ,75000 ,79950 
E02002612,81400 ,97875 ,113750 
E02002613,#N/A,#N/A,#N/A
E02002614,#N/A,#N/A,#N/A
E02003965,55000 ,55000 ,55000 
E02003966,120000 ,120000 ,120000 
